problem_id,branch,iterations,validation_passed,wall_total_s,prompt_tokens_total,completion_tokens_total
problem_023,ontology,3,True,32.767767,17745,4310
problem_023,ontology,1,True,0.972607,6246,1974
problem_023,single,1,True,15.020386,6239,2047
problem_023,single,1,True,15.749932,6270,2038
problem_023,single,1,True,13.559874,6204,1855
problem_023,single,1,True,13.509671,6228,1889
problem_023,single,1,True,16.569684,6246,1974
problem_024,ontology,1,True,0.959113,6231,2749
problem_024,ontology,1,True,0.948621,6242,2652
problem_024,ontology,2,True,24.880826,11979,4247
problem_024,ontology,1,True,1.022238,6160,2319
problem_024,ontology,1,True,1.146456,6349,2807
problem_024,single,1,True,23.438905,6231,2749
problem_024,single,1,True,23.475348,6242,2652
problem_024,single,1,True,19.746959,6258,2366
problem_024,single,1,True,22.979871,6160,2319
problem_024,single,1,True,22.960541,6349,2807
problem_025,ontology,1,True,1.060984,5800,977
problem_025,ontology,1,True,0.918875,5790,962
problem_025,ontology,1,True,1.022818,5784,1042
problem_025,ontology,1,True,1.008571,5784,960
problem_025,ontology,1,True,0.908683,5811,1069
problem_025,single,1,True,10.46448,5800,977
problem_025,single,1,True,9.357627,5790,962
problem_025,single,1,True,10.09888,5784,1042
problem_025,single,1,True,9.063343,5784,960
problem_025,single,1,True,9.843357,5811,1069
problem_026,ontology,1,True,0.98467,5744,841
problem_026,ontology,1,True,0.994905,5750,1213
problem_026,ontology,1,True,1.015747,5674,835
problem_026,ontology,1,True,1.114885,5736,800
problem_026,ontology,1,True,1.127146,5786,1340
problem_026,single,1,True,8.367185,5744,841
problem_026,single,1,True,11.807942,5750,1213
problem_026,single,1,True,8.364177,5674,835
problem_026,single,1,True,7.751455,5736,800
problem_026,single,1,True,13.227929,5786,1340
problem_027,ontology,1,True,1.064599,5781,761
problem_027,ontology,1,True,1.11617,5762,763
problem_027,ontology,1,True,1.136476,5764,768
problem_027,ontology,1,True,1.44007,5745,746
problem_027,ontology,1,True,1.533994,5780,783
problem_027,single,1,True,7.263846,5781,761
problem_027,single,1,True,7.821261,5762,763
problem_027,single,1,True,8.566663,5764,768
problem_027,single,1,True,8.399992,5745,746
problem_027,single,1,True,7.827975,5780,783
